Date,Demand,RRP,pDemand,pRRP,nDemand,nRRP,FracNegative,Minimum Temperature,Maximum Temperature,SchoolDay,Holiday
2015-06-09,132854.13499999998,36.71427512436855,132854.13499999998,36.71427512436855,0.0,0.0,0.0,10.3,13.5,Y,N
2015-06-10,144125.52500000005,39.7661374690569,144125.52500000005,39.7661374690569,0.0,0.0,0.0,7.5,13.4,Y,N
2015-06-11,143465.445,37.481829380935594,143465.445,37.481829380935594,0.0,0.0,0.0,5.7,14.0,Y,N
2015-06-12,145005.62,37.53937282327403,145005.62,37.53937282327403,0.0,0.0,0.0,5.2,13.1,Y,N
2015-06-13,123754.55,29.868588147264084,123754.55,29.868588147264084,0.0,0.0,0.0,6.0,18.2,Y,N
2015-06-14,119125.62,31.598182306207523,119125.62,31.598182306207523,0.0,0.0,0.0,5.8,17.4,Y,N
2015-06-15,136054.145,36.01098153018418,136054.145,36.01098153018418,0.0,0.0,0.0,7.1,16.9,Y,N
2015-06-16,139073.785,36.94281938181232,139073.785,36.94281938181232,0.0,0.0,0.0,9.5,16.1,Y,N
2015-06-17,134290.46000000002,39.27859912759252,134290.46000000002,39.27859912759252,0.0,0.0,0.0,11.7,13.8,Y,N
2015-06-18,137073.77500000002,37.457763522964186,137073.77500000002,37.457763522964186,0.0,0.0,0.0,10.7,12.7,Y,N
2015-06-19,139781.24500000002,38.55071373881381,139781.24500000002,38.55071373881381,0.0,0.0,0.0,7.0,12.4,Y,N
2015-06-20,129576.35999999999,41.09768311326233,129576.35999999999,41.09768311326233,0.0,0.0,0.0,4.1,11.6,Y,N
2015-06-21,124910.57000000002,33.90238984499069,124910.57000000002,33.90238984499069,0.0,0.0,0.0,2.2,12.9,Y,N
2015-06-22,140431.36,30.477831180656516,140431.36,30.477831180656516,0.0,0.0,0.0,3.6,14.1,Y,N
2015-06-23,133171.39999999997,30.23806159730994,133171.39999999997,30.23806159730994,0.0,0.0,0.0,9.6,17.6,Y,N
2015-06-24,135407.56999999998,32.21777895320034,135407.56999999998,32.21777895320034,0.0,0.0,0.0,12.2,16.0,Y,N
2015-06-25,137379.23,33.05483816731248,137379.23,33.05483816731248,0.0,0.0,0.0,9.6,14.0,Y,N
2015-06-26,135562.075,31.92862512173849,135562.075,31.92862512173849,0.0,0.0,0.0,10.5,16.9,N,N
2015-06-27,124587.43000000001,28.292540348171556,124587.43000000001,28.292540348171556,0.0,0.0,0.0,8.0,14.1,N,N
2015-06-28,119277.48000000001,31.001491761060013,119277.48000000001,31.001491761060013,0.0,0.0,0.0,9.6,14.5,N,N
2015-06-29,139468.15500000006,35.775398757157134,139468.15500000006,35.775398757157134,0.0,0.0,0.0,6.9,12.3,N,N
2015-06-30,143170.055,37.62525819732345,143170.055,37.62525819732345,0.0,0.0,0.0,5.0,14.2,N,N
2015-07-01,138930.99999999997,29.520946164642886,138930.99999999997,29.520946164642886,0.0,0.0,0.0,7.4,15.0,N,N
2015-07-02,138972.42500000002,35.6183137985827,138972.42500000002,35.6183137985827,0.0,0.0,0.0,10.3,11.9,N,N
2015-07-03,145713.81000000003,42.62957623508712,145713.81000000003,42.62957623508712,0.0,0.0,0.0,5.9,12.0,N,N
2015-07-04,130073.26999999997,29.127825267635696,130073.26999999997,29.127825267635696,0.0,0.0,0.0,7.3,10.6,N,N
2015-07-05,117312.92499999999,24.00328982931762,117312.92499999999,24.00328982931762,0.0,0.0,0.0,8.2,14.9,N,N
2015-07-06,143176.33500000002,36.04178883751983,143176.33500000002,36.04178883751983,0.0,0.0,0.0,7.5,11.5,N,N
2015-07-07,143984.39,37.29751745449626,143984.39,37.29751745449626,0.0,0.0,0.0,7.4,14.2,N,N
